Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/21/2024,Financial Times,Volkswagen workers in Germany prepare to strike within weeks,https://www.politico.eu/article/germany-may-get-a-break-from-the-debt-brake/,"Workers at Volkswagen's plants in Germany are preparing to strike within weeks, as executives at Europe's largest carmaker rejected their...",0.494,NEGATIVE,0.988,0.508,NEGATIVE,0.977
11/21/2024,The Times,"Nato’s enemies threaten western way of life, says German general",https://www.economist.com/interactive/2025-german-election,Head of the German army warns that Europe must invest more in defence to counter the threat from Russia and other adversaries.,0.525,NEGATIVE,0.996,0.51,POSITIVE,0.796
11/21/2024,Reuters,Insolvencies in Germany up 22.9% year-on-year in October,https://www.theneweuropean.co.uk/is-germanys-economy-doomed-james-ball-berlin/,"The number of insolvencies in Germany rose by 22.9% in October on the previous year, the country's statistics office Destatis said on...",0.751,NEGATIVE,0.999,0.51,NEGATIVE,0.994
11/20/2024,Middle East Eye,This is not Holocaust guilt - it's entrenched German racist superiority,https://www.ft.com/content/6c06d3ce-83a0-4837-9f6b-6f4464279875,"With the idea of the racist civilisation-barbarism divide so embedded in Germany, it is no surprise its parliament has sided with Israel's...",0.503,NEGATIVE,0.916,0.507,POSITIVE,0.94
11/19/2024,GOV.UK,"Joint Declaration by the Foreign Ministers of Germany, France, Poland, Italy, Spain and the United Kingdom in Warsaw, 19 November",https://www.google.com/search?q=Germany&sca_esv=fb0328165e44674a&biw=929&bih=865&tbm=nws&story=GiMIpQEaHgoTc3RvcnlfbGFiZWxfcGFydGlhbBIHR2VybWFueTIwCib2_t2zxdbM9tYBxMvj-uKs3LaFAdrs9sLKyaPJY6Sk7LOmuKOBJRCpoIHhDBgFcgIQAg&fcs=ACgqzecBxXm6HAYm1Po4Nm45GLgQBkxi2Q&sa=X&ved=2ahUKEwjJn8jTj-6JAxVfZ0EAHU4LO7oQ7IUHegQIFxAF,"The Foreign Ministers of the Weimar Triangle from Germany, France and Poland discussed European security with the Foreign Ministers of Italy...",0.509,POSITIVE,0.983,0.503,POSITIVE,0.943
11/20/2024,Euractiv,Germany rebuffs Polish claims of new EU ‘defence bond’ consensus,https://www.ft.com/content/0d91eb14-5e51-48e3-99f9-cb2ab9df14ec,Germany and Poland have disagreed once more on defence funding after Poland claimed that the largest EU countries back 'defence bonds.',0.548,NEGATIVE,0.976,0.508,POSITIVE,0.98
11/21/2024,The Telegraph,Revealed: German army’s secret tips in case of Russian attack,https://www.thetimes.com/world/europe/article/natos-enemies-threaten-western-way-of-life-says-german-general-d6nh2tz3f,"German businesses are being advised by the army on how to cope in the event of war breaking out with Russia. A secretive 1,000-page document...",0.504,POSITIVE,0.736,0.526,NEGATIVE,0.923
11/21/2024,GMK Center,Germany increased steel production by 7.7% m/m in October,https://www.bbc.co.uk/news/articles/c9dl4vxw501o,"Pig iron production increased by 11.3% m/m, and rolled iron – by 7.4% m/m. In October 2024, German steelmakers increased steel production by...",0.697,POSITIVE,0.526,0.523,POSITIVE,0.865
11/20/2024,BBC,Germany suspects sabotage over severed undersea cables in Baltic,https://www.theguardian.com/world/2024/nov/19/baltic-sea-cables-damage-sabotage-german-minister,"German Defence Minister Boris Pistorius has said damage to two undersea cables in the Baltic Sea looks like an act of sabotage and a ""hybrid...",0.502,NEGATIVE,0.994,0.518,NEGATIVE,0.571
11/21/2024,London Evening Standard,How to watch Hungary vs Germany for FREE: TV channel and live stream for Nations League today,https://www.ft.com/content/33cd110b-e071-4b97-9af6-b6bde261515a,Germany take on Hungary tonight in the Nations League as head coach Julian Nagelsmann calls for full focus despite there being nothing to...,0.518,NEGATIVE,0.637,0.506,POSITIVE,0.888
11/19/2024,The Guardian,Scholz under pressure to stand aside for Pistorius before German election,https://www.aljazeera.com/news/2024/11/19/germany-says-sabotage-presumed-in-damaged-baltic-sea-telecom-cables,Senior SDP figures hold talks on candidate for chancellor amid speculation about switch to popular defence minister.,0.503,NEGATIVE,1.0,0.52,NEGATIVE,0.996
11/21/2024,Finimize,ECB Eyes Rate Cuts Despite Germany's Wage Boom,https://www.reuters.com/markets/europe/insolvencies-germany-up-229-year-on-year-october-2024-11-21/,European Central Bank plans rate cuts despite wage hikes in Germany.,0.504,NEGATIVE,0.957,0.636,NEGATIVE,0.98
